Time (s),Speed (km/h),Timestamp
0.07248806953430176,6.3,14:05:03.909
0.17393994331359863,1.584,14:05:04.010
0.279400110244751,0.792,14:05:04.115
0.3823840618133545,0.792,14:05:04.218
0.9095849990844727,0.792,14:05:04.746
1.221290111541748,0.792,14:05:05.057
1.7457458972930908,0.792,14:05:05.582
1.8738529682159424,0.792,14:05:05.710
2.072554111480713,1.584,14:05:05.909
2.1779961585998535,2.3760000000000003,14:05:06.014
2.2823472023010254,0.792,14:05:06.118
2.3856611251831055,1.584,14:05:06.222
2.491140842437744,1.584,14:05:06.327
2.5966880321502686,2.3760000000000003,14:05:06.433
2.6990489959716797,0.792,14:05:06.535
2.8047330379486084,0.792,14:05:06.641
2.910262107849121,4.716,14:05:06.746
3.015916109085083,0.792,14:05:06.852
3.23341703414917,1.584,14:05:07.069
3.3407540321350098,0.792,14:05:07.177
3.4509470462799072,3.132,14:05:07.287
3.556318998336792,5.508,14:05:07.392
3.661736011505127,2.3760000000000003,14:05:07.498
3.7673580646514893,0.792,14:05:07.603
3.872866153717041,0.792,14:05:07.709
3.9785380363464355,2.3760000000000003,14:05:07.815
4.084110260009766,0.792,14:05:07.920
4.189580202102661,0.792,14:05:08.026
4.290348052978516,1.584,14:05:08.126
4.3958680629730225,9.432,14:05:08.232
4.501353979110718,0.792,14:05:08.337
4.606844902038574,5.508,14:05:08.443
4.712347030639648,1.584,14:05:08.548
4.931849002838135,4.716,14:05:08.768
5.038376092910767,11.808,14:05:08.874
5.142436265945435,4.716,14:05:08.979
