Time (s),Speed (mph),Timestamp
0.014267206192016602,1.5211192000000002,19:45:35.416
0.1198272705078125,0.31317160000000005,19:45:35.522
0.22400736808776855,1.5211192000000002,19:45:35.626
0.33660221099853516,2.125093,19:45:35.739
0.4417111873626709,1.8119214000000003,19:45:35.844
0.545119047164917,0.6039738000000001,19:45:35.947
0.651036262512207,0.31317160000000005,19:45:36.053
0.7526421546936035,0.31317160000000005,19:45:36.155
0.9766421318054199,0.31317160000000005,19:45:36.379
1.0816121101379395,0.31317160000000005,19:45:36.484
1.1864912509918213,0.31317160000000005,19:45:36.589
1.2919611930847168,0.31317160000000005,19:45:36.694
1.397322177886963,0.31317160000000005,19:45:36.799
1.4991002082824707,0.6039738000000001,19:45:36.901
1.778623104095459,0.6039738000000001,19:45:37.181
1.8834559917449951,0.6039738000000001,19:45:37.286
1.9869849681854248,0.31317160000000005,19:45:37.389
2.0920441150665283,0.31317160000000005,19:45:37.494
2.196033000946045,1.2079476000000002,19:45:37.598
2.301434278488159,0.31317160000000005,19:45:37.704
2.4030721187591553,0.6039738000000001,19:45:37.805
2.50846529006958,0.9171454,19:45:37.911
2.613323211669922,0.31317160000000005,19:45:38.015
2.781679153442383,0.31317160000000005,19:45:38.184
2.88478422164917,0.31317160000000005,19:45:38.287
2.990551233291626,0.31317160000000005,19:45:38.393
3.096381187438965,0.31317160000000005,19:45:38.498
3.199845314025879,0.31317160000000005,19:45:38.602
3.3056461811065674,0.31317160000000005,19:45:38.708
3.4076952934265137,2.4382646000000006,19:45:38.810
3.5382792949676514,0.31317160000000005,19:45:38.940
3.738532304763794,0.31317160000000005,19:45:39.141
3.8435990810394287,0.31317160000000005,19:45:39.246
3.949709177017212,0.31317160000000005,19:45:39.352
4.0543951988220215,0.31317160000000005,19:45:39.457
4.1567442417144775,0.31317160000000005,19:45:39.559
4.261359214782715,0.31317160000000005,19:45:39.663
4.366769313812256,0.31317160000000005,19:45:39.769
4.469793081283569,0.6039738000000001,19:45:39.872
4.5729663372039795,0.31317160000000005,19:45:39.975
4.741933107376099,0.31317160000000005,19:45:40.144
4.942492246627808,0.31317160000000005,19:45:40.345
5.066646099090576,0.31317160000000005,19:45:40.469
5.343079328536987,0.31317160000000005,19:45:40.745
5.544230222702026,0.31317160000000005,19:45:40.946
5.667312145233154,0.31317160000000005,19:45:41.069
5.946695327758789,0.31317160000000005,19:45:41.349
6.146677017211914,0.31317160000000005,19:45:41.549
6.251507997512817,0.31317160000000005,19:45:41.654
6.357050180435181,0.31317160000000005,19:45:41.759
6.461499214172363,0.31317160000000005,19:45:41.864
6.565395355224609,0.31317160000000005,19:45:41.968
6.748221397399902,0.31317160000000005,19:45:42.150
6.852917194366455,0.31317160000000005,19:45:42.255
6.9585442543029785,0.31317160000000005,19:45:42.361
7.06040620803833,0.6039738000000001,19:45:42.463
7.35007905960083,0.9171454,19:45:42.752
7.475659132003784,0.31317160000000005,19:45:42.878
7.775236129760742,1.2079476000000002,19:45:43.177
7.8792970180511475,2.4382646000000006,19:45:43.281
8.176660060882568,0.6039738000000001,19:45:43.579
8.281738996505737,0.31317160000000005,19:45:43.684
8.390244245529175,0.31317160000000005,19:45:43.792
8.491866111755371,0.31317160000000005,19:45:43.894
8.59626030921936,0.31317160000000005,19:45:43.998
8.701096296310425,0.31317160000000005,19:45:44.103
8.80751633644104,0.31317160000000005,19:45:44.210
8.912201166152954,0.31317160000000005,19:45:44.314
9.20464825630188,0.31317160000000005,19:45:44.607
9.383276224136353,0.31317160000000005,19:45:44.785
9.5785973072052,0.31317160000000005,19:45:44.981
9.808264970779419,0.31317160000000005,19:45:45.210
10.00901198387146,0.31317160000000005,19:45:45.411
10.179867267608643,0.31317160000000005,19:45:45.582
10.282042264938354,0.31317160000000005,19:45:45.684
10.38613510131836,0.31317160000000005,19:45:45.788
10.488119125366211,0.31317160000000005,19:45:45.890
10.59353518486023,1.2079476000000002,19:45:45.996
10.698984384536743,0.31317160000000005,19:45:46.101
10.813116312026978,0.31317160000000005,19:45:46.215
11.013466119766235,1.8119214000000003,19:45:46.416
11.213733196258545,2.125093,19:45:46.616
11.380974292755127,0.9171454,19:45:46.783
11.60703730583191,0.9171454,19:45:47.009
11.808281183242798,0.31317160000000005,19:45:47.210
11.981797218322754,0.31317160000000005,19:45:47.384
12.2087082862854,0.31317160000000005,19:45:47.611
12.314221143722534,0.31317160000000005,19:45:47.716
12.420773267745972,0.31317160000000005,19:45:47.823
12.526305198669434,0.31317160000000005,19:45:47.928
12.630934000015259,0.31317160000000005,19:45:48.033
12.736248254776001,0.6039738000000001,19:45:48.138
12.883449077606201,0.31317160000000005,19:45:48.286
12.989253282546997,0.31317160000000005,19:45:48.391
13.093096256256104,0.31317160000000005,19:45:48.495
13.223803281784058,0.31317160000000005,19:45:48.626
13.325213193893433,0.31317160000000005,19:45:48.727
13.439449071884155,0.31317160000000005,19:45:48.842
13.544883966445923,0.31317160000000005,19:45:48.947
13.649112224578857,0.31317160000000005,19:45:49.051
13.784394025802612,0.31317160000000005,19:45:49.187
13.887288093566895,0.31317160000000005,19:45:49.289
13.991194248199463,0.31317160000000005,19:45:49.393
14.094367027282715,0.31317160000000005,19:45:49.496
14.224831104278564,0.31317160000000005,19:45:49.627
14.425537109375,0.31317160000000005,19:45:49.828
14.530190229415894,0.31317160000000005,19:45:49.932
14.634824275970459,0.31317160000000005,19:45:50.037
14.737076997756958,0.31317160000000005,19:45:50.139
14.841889142990112,0.31317160000000005,19:45:50.244
14.986812353134155,0.31317160000000005,19:45:50.389
