Time (s),Speed (km/h),Timestamp
0.0647881031036377,0.5040000000000001,13:37:22.305
0.17034316062927246,1.476,13:37:22.410
0.694622278213501,0.792,13:37:22.934
1.0065131187438965,8.64,13:37:23.246
1.5283911228179932,3.9240000000000004,13:37:23.768
1.6339120864868164,1.584,13:37:23.874
1.7393860816955566,3.132,13:37:23.979
1.844818115234375,3.9240000000000004,13:37:24.085
1.9501760005950928,0.792,13:37:24.190
2.051626205444336,0.792,13:37:24.291
2.1568031311035156,0.792,13:37:24.397
2.2623450756073,0.792,13:37:24.502
2.367807149887085,0.792,13:37:24.608
2.473318099975586,5.508,13:37:24.713
2.5788700580596924,3.9240000000000004,13:37:24.819
2.684312105178833,0.792,13:37:24.924
2.7897651195526123,3.132,13:37:25.030
2.891944169998169,9.432,13:37:25.132
2.9973230361938477,0.792,13:37:25.237
3.098473072052002,1.584,13:37:25.338
3.20387601852417,3.9240000000000004,13:37:25.444
3.309237003326416,3.9240000000000004,13:37:25.549
3.414652109146118,0.792,13:37:25.655
3.5200722217559814,6.3,13:37:25.760
3.6255412101745605,0.792,13:37:25.865
3.730985164642334,0.792,13:37:25.971
3.836344003677368,0.792,13:37:26.076
3.9417812824249268,3.132,13:37:26.182
4.0472869873046875,0.792,13:37:26.287
4.176387071609497,0.792,13:37:26.416
4.281816005706787,3.9240000000000004,13:37:26.522
4.387219190597534,5.508,13:37:26.627
4.492648124694824,7.092,13:37:26.732
4.598044157028198,3.132,13:37:26.838
4.703413963317871,0.792,13:37:26.943
4.808855056762695,3.132,13:37:27.049
4.914282321929932,5.508,13:37:27.154
5.019618034362793,3.132,13:37:27.259
5.124967098236084,0.792,13:37:27.365
5.230393171310425,4.716,13:37:27.470
5.335859060287476,6.3,13:37:27.576
5.4412970542907715,7.884,13:37:27.681
5.546770095825195,6.3,13:37:27.787
5.652249097824097,6.3,13:37:27.892
5.757698059082031,6.3,13:37:27.998
5.88918399810791,14.940000000000001,13:37:28.129
5.993042230606079,3.9240000000000004,13:37:28.233
6.098406076431274,5.508,13:37:28.338
6.20387601852417,3.132,13:37:28.444
6.306074142456055,4.716,13:37:28.546
6.4115149974823,7.092,13:37:28.651
6.516938209533691,1.584,13:37:28.757
6.692454099655151,0.792,13:37:28.932
6.796143054962158,2.3760000000000003,13:37:29.036
6.90162205696106,2.3760000000000003,13:37:29.141
7.006951093673706,5.508,13:37:29.247
7.112336158752441,11.016,13:37:29.352
7.217679023742676,0.792,13:37:29.458
7.323080062866211,11.808,13:37:29.563
7.428483009338379,0.792,13:37:29.668
7.533873081207275,1.584,13:37:29.774
7.639251232147217,2.3760000000000003,13:37:29.879
7.744631052017212,0.792,13:37:29.984
7.850059986114502,2.3760000000000003,13:37:30.090
7.955421209335327,0.792,13:37:30.195
8.060805082321167,2.3760000000000003,13:37:30.301
8.16621208190918,0.792,13:37:30.406
