Time (s),Speed (km/h),Timestamp
0.0803072452545166,0.792,13:37:33.715
0.18389511108398438,1.584,13:37:33.819
0.2880880832672119,3.132,13:37:33.923
0.3935353755950928,3.9240000000000004,13:37:34.028
0.49897027015686035,0.792,13:37:34.134
0.6043541431427002,1.584,13:37:34.239
0.7098312377929688,6.3,13:37:34.345
0.8154981136322021,4.716,13:37:34.450
0.9210643768310547,24.372,13:37:34.556
1.0266921520233154,0.792,13:37:34.662
1.1322333812713623,3.132,13:37:34.767
1.2377071380615234,0.792,13:37:34.873
1.3404922485351562,1.584,13:37:34.975
1.4459662437438965,0.792,13:37:35.081
1.5506031513214111,0.792,13:37:35.185
1.6561012268066406,2.3760000000000003,13:37:35.291
1.7616913318634033,7.092,13:37:35.397
1.8885102272033691,3.9240000000000004,13:37:35.523
1.9940223693847656,3.132,13:37:35.629
2.0993683338165283,2.3760000000000003,13:37:35.734
2.204824209213257,0.792,13:37:35.840
2.310265302658081,3.132,13:37:35.945
2.4157052040100098,18.108,13:37:36.051
2.521153211593628,3.132,13:37:36.156
2.6266422271728516,2.3760000000000003,13:37:36.261
2.732095241546631,5.508,13:37:36.367
2.837496280670166,2.3760000000000003,13:37:36.472
2.9429943561553955,3.132,13:37:36.578
3.0483922958374023,0.792,13:37:36.683
3.153787136077881,2.3760000000000003,13:37:36.789
3.259235143661499,1.584,13:37:36.894
3.3646392822265625,1.584,13:37:36.999
3.470018148422241,3.9240000000000004,13:37:37.105
3.575437068939209,1.584,13:37:37.210
3.680889129638672,0.792,13:37:37.316
3.8043253421783447,0.792,13:37:37.439
3.909745216369629,1.584,13:37:37.545
4.015130281448364,2.3760000000000003,13:37:37.650
4.1204752922058105,3.9240000000000004,13:37:37.755
4.225888013839722,0.792,13:37:37.861
4.327825307846069,3.132,13:37:37.963
4.43322229385376,0.792,13:37:38.068
4.538624048233032,1.584,13:37:38.173
4.644087076187134,18.108,13:37:38.279
4.749757289886475,0.792,13:37:38.385
