Time (s),Speed (km/h),Timestamp
0.02562689781188965,1.584,13:50:59.148
0.12623882293701172,0.792,13:50:59.249
0.23173785209655762,0.792,13:50:59.354
0.33447885513305664,0.792,13:50:59.457
0.43999385833740234,1.584,13:50:59.562
0.5429298877716064,34.596,13:50:59.665
0.6461477279663086,1.584,13:50:59.769
0.7516138553619385,1.584,13:50:59.874
1.0112378597259521,0.792,13:51:00.134
1.1167469024658203,0.792,13:51:00.239
1.3920228481292725,1.584,13:51:00.515
1.4975559711456299,0.792,13:51:00.620
1.6113059520721436,0.792,13:51:00.734
1.7166988849639893,3.132,13:51:00.839
1.819849967956543,3.9240000000000004,13:51:00.942
1.9252779483795166,4.716,13:51:01.048
2.0270400047302246,1.584,13:51:01.150
2.132493734359741,0.792,13:51:01.255
2.237952947616577,0.792,13:51:01.360
2.343430757522583,0.792,13:51:01.466
2.4566259384155273,7.092,13:51:01.579
2.562088966369629,2.3760000000000003,13:51:01.685
2.66750168800354,7.092,13:51:01.790
2.781219720840454,1.584,13:51:01.904
2.8866119384765625,8.64,13:51:02.009
2.992100715637207,1.584,13:51:02.115
3.0975799560546875,2.3760000000000003,13:51:02.220
3.2030868530273438,1.584,13:51:02.326
3.3086090087890625,5.508,13:51:02.431
3.4191198348999023,1.584,13:51:02.542
3.524552822113037,1.584,13:51:02.647
3.6539838314056396,4.716,13:51:02.776
3.7594659328460693,4.716,13:51:02.882
3.8649909496307373,0.792,13:51:02.987
3.9667179584503174,0.792,13:51:03.089
4.0722386837005615,3.132,13:51:03.195
4.177681922912598,2.3760000000000003,13:51:03.300
4.2831926345825195,16.524,13:51:03.406
4.520309925079346,0.792,13:51:03.643
4.625457763671875,3.9240000000000004,13:51:03.748
4.727035760879517,0.792,13:51:03.850
4.8285298347473145,2.3760000000000003,13:51:03.951
4.934038877487183,3.9240000000000004,13:51:04.057
5.0395917892456055,0.792,13:51:04.162
5.143496751785278,7.884,13:51:04.266
5.305150985717773,3.132,13:51:04.428
5.410664796829224,0.792,13:51:04.533
5.520590782165527,1.584,13:51:04.643
5.626152753829956,0.792,13:51:04.749
5.7286529541015625,2.3760000000000003,13:51:04.851
5.834120750427246,0.792,13:51:04.957
5.9395599365234375,1.584,13:51:05.062
6.046011924743652,2.3760000000000003,13:51:05.168
