Time (s),Speed (mph),Timestamp
9.5367431640625e-07,0.9171454,17:35:30.397
0.10216903686523438,0.6039738000000001,17:35:30.499
0.20720601081848145,0.9171454,17:35:30.604
0.31048107147216797,0.31317160000000005,17:35:30.707
0.415985107421875,0.31317160000000005,17:35:30.813
0.521481990814209,0.31317160000000005,17:35:30.918
0.6269950866699219,0.31317160000000005,17:35:31.024
0.7324841022491455,0.31317160000000005,17:35:31.129
0.8832790851593018,0.31317160000000005,17:35:31.280
0.9856340885162354,0.6039738000000001,17:35:31.382
1.091209888458252,0.31317160000000005,17:35:31.488
1.196674108505249,0.31317160000000005,17:35:31.593
1.3021950721740723,0.31317160000000005,17:35:31.699
1.4076650142669678,0.31317160000000005,17:35:31.804
1.5131280422210693,0.31317160000000005,17:35:31.910
1.6185741424560547,0.31317160000000005,17:35:32.015
1.7235381603240967,0.31317160000000005,17:35:32.120
1.8272008895874023,2.4382646000000006,17:35:32.224
1.9319720268249512,0.31317160000000005,17:35:32.329
2.0347840785980225,0.31317160000000005,17:35:32.431
2.1404471397399902,0.31317160000000005,17:35:32.537
2.350492238998413,0.31317160000000005,17:35:32.747
2.455230236053467,0.31317160000000005,17:35:32.852
2.5827770233154297,0.31317160000000005,17:35:32.979
2.6883089542388916,0.31317160000000005,17:35:33.085
2.7899880409240723,0.31317160000000005,17:35:33.187
2.8909800052642822,0.31317160000000005,17:35:33.288
3.1848859786987305,0.31317160000000005,17:35:33.582
3.29042911529541,1.2079476000000002,17:35:33.687
3.3958382606506348,0.31317160000000005,17:35:33.792
3.5012199878692627,1.5211192000000002,17:35:33.898
3.6065990924835205,0.9171454,17:35:34.003
3.712038040161133,0.31317160000000005,17:35:34.109
3.8174610137939453,0.31317160000000005,17:35:34.214
3.9192471504211426,0.9171454,17:35:34.316
4.188614130020142,0.6039738000000001,17:35:34.585
4.360140085220337,0.31317160000000005,17:35:34.757
4.489127159118652,0.31317160000000005,17:35:34.886
4.595299959182739,0.31317160000000005,17:35:34.992
4.79189920425415,0.31317160000000005,17:35:35.189
4.993268966674805,0.31317160000000005,17:35:35.390
5.100028038024902,0.6039738000000001,17:35:35.497
5.204686164855957,0.6039738000000001,17:35:35.601
5.305188179016113,0.31317160000000005,17:35:35.702
5.410557270050049,0.31317160000000005,17:35:35.807
5.515942096710205,0.31317160000000005,17:35:35.913
5.621294021606445,0.31317160000000005,17:35:36.018
